Regnskapsår,Fylke,Kommune,Landsdel,Næring,Sektor,Verdiskaping,Ansatte,Årsverk,Foretak,Aktive Foretak
2016,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,108366879,210.0,149.0,25,22
2024,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,315777000,1028.0,487.7000000000001,122,105
2024,Akershus,Nordre Follo,Østlandet (Uten Oslo),Transport,Transport og formidling,432326000,658.0,451.2,13,10
2022,Akershus,Nordre Follo,Østlandet (Uten Oslo),Transport,Transport og formidling,399409606,593.0,458.7000000000001,13,8
2024,Akershus,Gjerdrum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,5449000,31.0,11.0,9,6
2023,Akershus,Gjerdrum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,7826317,51.0,14.8,10,8
2022,Akershus,Gjerdrum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,6340557,32.0,10.7,11,7
2024,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,24285000,113.0,41.89999999999999,17,15
2023,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,19519408,108.0,33.4,12,12
2023,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,79364160,337.0,133.8,29,26
2016,Akershus,Hurdal,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,0,1.0,0.0,1,0
2018,Akershus,Hurdal,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,203357,2.0,0.2,3,3
2017,Akershus,Hurdal,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,177289,3.0,0.4,2,2
2023,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,433372183,566.0,234.00000000000003,97,78
2024,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,512828000,600.0,218.9,97,75
2022,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,470566812,446.0,189.7,88,72
2024,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,77428000,269.0,107.09999999999998,28,25
2016,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,173318901,720.0,299.50000000000006,61,56
2015,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,166580496,617.0,272.40000000000003,52,47
2021,Akershus,Nes,Østlandet (Uten Oslo),Formidling,Transport og formidling,556952,6.0,0.7,6,6
2023,Akershus,Nes,Østlandet (Uten Oslo),Formidling,Transport og formidling,3437930,15.0,2.9000000000000004,8,5
2017,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,91940844,502.0,130.0,66,56
2016,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,104443974,469.0,136.39999999999998,66,56
2024,Akershus,Nes,Østlandet (Uten Oslo),Formidling,Transport og formidling,2288000,12.0,2.7,7,5
2022,Akershus,Nes,Østlandet (Uten Oslo),Formidling,Transport og formidling,3047340,12.0,1.5,6,4
2018,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,394488469,1624.0,720.1000000000001,127,109
2017,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,383880259,1700.0,665.3999999999999,118,100
2016,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,384289538,1595.0,653.5999999999999,116,101
2023,Akershus,Eidsvoll,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,63409479,292.0,109.8,33,27
2022,Akershus,Eidsvoll,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,70448969,323.0,120.29999999999998,29,25
2024,Akershus,Eidsvoll,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,65440000,275.0,105.8,28,23
2023,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Transport,Transport og formidling,63761009,92.0,59.6,7,6
2024,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Transport,Transport og formidling,66817000,96.0,60.2,8,6
2021,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Transport,Transport og formidling,66283324,103.0,62.7,4,2
2022,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Transport,Transport og formidling,59225706,91.0,59.1,6,3
2023,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,217895800,809.0,345.50000000000006,76,67
2024,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,33748000,148.0,51.1,18,17
2018,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,18212237,76.0,30.000000000000004,15,12
2016,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,24500637,155.0,32.8,13,12
2023,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,29060056,122.0,44.1,22,15
2017,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,15262053,67.0,26.599999999999994,15,14
2015,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,18017296,119.0,28.8,13,12
2019,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,18913800,88.0,30.6,14,13
2020,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,19976886,75.0,34.6,14,13
2021,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,30577247,124.0,52.5,24,20
2022,Akershus,Nes,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,32852754,143.0,52.0,22,20
2020,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,339840508,1466.0,616.5,135,117
2016,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,38994164,88.0,34.5,50,41
2022,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,59669574,149.0,63.100000000000016,59,48
2020,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,175649450,662.0,321.40000000000003,65,55
2017,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,180972896,766.0,332.7000000000001,68,59
2019,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,202552290,796.0,362.2999999999999,65,55
2019,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,42147894,153.0,56.900000000000006,51,42
2020,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,35811214,105.0,36.900000000000006,54,43
2021,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,207453969,677.0,330.2,70,59
2015,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,42075984,98.0,31.0,47,37
2017,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,39681090,152.0,44.2,49,39
2021,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,54889904,115.0,46.5,58,46
2018,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,193626311,771.0,351.29999999999995,66,62
2015,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,794821155,1836.0,1378.5000000000002,131,110
2019,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,1007534472,1984.0,1842.1,151,132
2024,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,1135717000,1756.0,1718.5000000000005,164,133
2016,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,828777792,2098.0,1520.1,134,117
2023,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,1080711575,1707.0,1750.5000000000002,156,122
2017,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,936209263,2176.0,1690.0000000000002,147,126
2018,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,170372048,163.0,145.6,4,3
2015,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,169395455,71.0,141.7,3,3
2021,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,132097150,170.0,124.3,4,4
2016,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,147183104,177.0,150.4,3,3
2022,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,138544724,169.0,134.89999999999998,4,4
2024,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,140660000,149.0,120.8,7,7
2023,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,138018282,165.0,123.8,8,6
2017,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,134610553,163.0,142.3,3,3
2019,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,170698117,172.0,145.7,4,4
2020,Akershus,Eidsvoll,Østlandet (Uten Oslo),Transport,Transport og formidling,138680857,164.0,130.7,4,4
2018,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,90606415,410.0,122.20000000000002,67,54
2021,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,121990246,417.0,155.6,84,66
2020,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,146076459,446.0,138.00000000000003,77,61
2024,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,225685000,760.0,335.7,76,64
2022,Akershus,Nordre Follo,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,217316480,822.0,356.50000000000006,76,63
2022,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,84060284,346.0,141.29999999999995,27,22
2024,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,72968000,322.0,120.5,28,24
2018,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,67016909,333.0,115.5,27,24
2019,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,70059201,298.0,128.1,28,26
2021,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,64716017,255.0,101.1,24,23
2017,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,44683178,276.0,80.9,21,19
2018,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,50310745,222.0,82.2,21,20
2020,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,59104303,270.0,99.2,23,20
2019,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,54153810,280.0,89.60000000000001,25,20
2015,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,767053738,2165.0,1263.8,56,47
2016,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,770786907,2032.0,1292.500000000001,69,52
2017,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,788113372,2409.0,1436.4,70,62
2019,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,925744291,2512.0,1551.8000000000002,70,60
2018,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,867554519,2442.0,1585.0000000000005,76,72
2015,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,86403128,582.0,120.4,60,53
2022,Akershus,Asker,Østlandet (Uten Oslo),Transport,Transport og formidling,219636004,358.0,206.2,18,17
2016,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,233245458,943.0,405.29999999999984,87,75
2022,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,327752966,1128.0,548.9,110,95
2015,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,229327074,879.0,384.9,80,68
2017,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,239355459,925.0,427.6000000000001,85,73
2018,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,265708682,922.0,452.5,88,78
2019,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,290306260,971.0,472.5999999999999,89,80
2019,Akershus,Gjerdrum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,4110488,23.0,7.799999999999999,8,5
2020,Akershus,Gjerdrum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,4976061,36.0,10.4,10,7
2022,Akershus,Nes,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,4432298,20.0,4.0,4,4
2022,Akershus,Nesodden,Østlandet (Uten Oslo),Formidling,Transport og formidling,3713164,5.0,5.0,8,6
2020,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,20827073,80.0,47.6,3,3
2017,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,37518173,79.0,51.2,3,3
2021,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,50944064,80.0,44.6,3,3
2019,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,38075999,84.0,52.1,3,3
2018,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,37436347,81.0,50.4,3,3
2022,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,49150220,113.0,60.00000000000001,3,3
2015,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,359970505,1510.0,578.0000000000001,105,93
2019,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,421755134,1689.0,721.3000000000001,131,112
2021,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,394613635,1476.0,621.6000000000003,142,117
2023,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,707400653,1525.0,978.8,14,13
2021,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,541001777,772.0,524.5,12,11
2015,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,596614869,1569.0,958.1,13,12
2017,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,636322260,1204.0,908.6,13,12
2018,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,625593105,1269.0,917.9,13,12
2019,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,532666098,1277.0,890.7,13,12
2016,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,534472243,1250.0,922.2,13,12
2022,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,704831397,1404.0,919.9,13,12
2024,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,655911000,1533.0,989.8,15,14
2020,Akershus,Ullensaker,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,252234909,1091.0,436.9,13,12
2022,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,211996421,597.0,362.9,56,45
2024,Akershus,Lunner,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,10618000,56.0,16.8,8,8
2023,Akershus,Lunner,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,10032368,54.0,18.1,7,7
2022,Akershus,Lunner,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,11326621,63.0,19.2,9,8
2021,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,20176933,88.0,32.099999999999994,13,11
2020,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,15018683,73.0,23.8,10,10
2018,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,17865915,105.0,32.8,11,10
2019,Akershus,Aurskog-Høland,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,13188775,71.0,20.500000000000004,10,8
2019,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,181573001,194.0,102.70000000000005,54,42
2021,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,58290325,124.0,72.49999999999999,58,38
2018,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,122594011,137.0,82.6,50,35
2015,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,118078354,118.0,78.8,44,29
2020,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,85186069,165.0,88.1,54,39
2017,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,130121326,127.0,72.9,44,37
2016,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,116959312,149.0,75.3,45,34
2023,Akershus,Nesodden,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,15762935,28.0,17.900000000000002,19,18
2024,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,90279000,84.0,73.7,54,40
2023,Akershus,Ullensaker,Østlandet (Uten Oslo),Transport,Transport og formidling,2507716319,2100.0,2398.3,18,14
2022,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,69530741,274.0,108.2,24,23
2016,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,41854450,295.0,73.9,19,17
2023,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,74823204,258.0,110.80000000000004,27,23
2015,Akershus,Frogn,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,47985112,297.0,84.8,19,17
2020,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,58545855,425.0,158.6,9,8
2015,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,129958068,498.0,263.0,8,6
2017,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,106272154,492.0,282.1,8,7
2022,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,168407804,484.0,282.1,14,9
2016,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,130873843,494.0,261.9,8,6
2019,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,164159192,457.0,281.3,6,5
2023,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,184542210,488.0,296.20000000000005,16,13
2018,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,189470438,524.0,307.49999999999994,8,7
2024,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,187666000,566.0,311.80000000000007,16,13
2021,Akershus,Lillestrøm,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,115536962,249.0,182.0,10,8
2020,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,91033759,123.0,109.0,4,4
2021,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,80714655,122.0,97.6,4,3
2019,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,102093068,160.0,118.5,4,4
2016,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,72352914,139.0,89.2,5,4
2022,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,59797967,96.0,71.4,4,3
2018,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,93748010,147.0,110.5,4,4
2017,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,92528449,142.0,109.7,5,4
2023,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,239856302,699.0,414.19999999999993,76,61
2023,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,22674882,71.0,27.4,17,15
2021,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,18935293,63.0,23.1,15,13
2017,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,34029376,97.0,45.1,13,10
2019,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,19338236,57.0,28.500000000000004,11,10
2016,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,39089604,105.0,41.1,11,10
2022,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,24322155,78.0,29.099999999999994,18,15
2020,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,13458828,57.0,19.2,12,10
2018,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,39002815,71.0,41.4,14,11
2024,Akershus,Ullensaker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,20903000,52.0,30.3,18,15
2022,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,21243267,94.0,37.5,17,10
2016,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,14354262,94.0,29.800000000000004,8,8
2015,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,14889720,57.0,18.200000000000003,7,6
2019,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,17845485,76.0,29.800000000000004,7,6
2020,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,16777395,63.0,34.9,9,8
2017,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,14616217,94.0,37.7,8,8
2023,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,24035627,104.0,43.2,19,10
2018,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,15765782,62.0,33.0,8,8
2021,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,19946788,71.0,32.5,16,9
2017,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,583786,1.0,0.4,4,3
2019,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,356908,1.0,0.4,6,4
2015,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,277888,1.0,0.4,3,3
2018,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,101061,1.0,0.4,4,4
2022,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,155576,1.0,0.0,6,2
2021,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,1395837,3.0,0.7,7,3
2020,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,434615,3.0,0.5,7,3
2016,Akershus,Ås,Østlandet (Uten Oslo),Formidling,Transport og formidling,223096,1.0,0.1,4,4
2016,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,47745229,245.0,99.4,21,18
2015,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,43187536,299.0,82.39999999999999,16,15
2017,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,56992106,349.0,102.7,23,21
2022,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,75954241,89.0,69.4,14,11
2020,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,19716119,79.0,27.0,15,12
2024,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,98885978,78.0,92.7,17,13
2017,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,54173376,57.0,66.7,16,14
2018,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,55191112,56.0,63.30000000000001,16,14
2015,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,36072727,78.0,39.50000000000001,11,10
2021,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,20062671,80.0,37.70000000000001,15,13
2023,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,84310631,77.0,85.2,15,13
2019,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,56059931,79.0,61.6,15,13
2016,Akershus,Vestby,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,49229490,58.0,59.4,13,12
2024,Akershus,Ås,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,66297000,254.0,101.2,27,20
2023,Akershus,Nesodden,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,69008100,246.0,91.5,23,18
2023,Akershus,Lillestrøm,Østlandet (Uten Oslo),Transport,Transport og formidling,119190570,160.0,107.5,24,20
2023,Akershus,Bærum,Østlandet (Uten Oslo),Formidling,Transport og formidling,111111678,90.0,50.50000000000001,57,42
2023,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,86511128,187.0,88.60000000000002,66,54
2024,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,89083000,158.0,83.59999999999998,66,55
2019,Akershus,Nordre Follo,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,61352302,185.0,116.5,6,5
2020,Akershus,Nordre Follo,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,31330510,164.0,75.9,6,5
2021,Akershus,Nordre Follo,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,39500033,108.0,73.2,6,5
